CVE_ENT,Región,Mercado,Distribuidores principales,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VEntregaNov,VEntregaAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum
9,M1 - M1,A - A,"M1053 - Alden Concesionaria Tacubaya, S.A. de C.V. (grupo )","M1053 - Alden Concesionaria Tacubaya, S.A. de C.V.",89.6,72.8,78.1,75.5,81.2,80.4,81.2,68.7,75,75.4,62.5,81.9,90.6,77.5,96.9,86.2
9,M1 - M1,A - A,M1301 - Camsa (grupo ),M1301 - Camsa,79.7,66.2,87.5,72.2,90.6,73.5,90.6,62.6,75,67.7,75,77.9,84.4,73.5,90.6,82
9,M1 - M1,A - A,M1338 - Automovilistica Andrade (grupo ),M1338 - Automovilistica Andrade,93.8,76.5,87.5,77.5,100,81,100,73.5,100,82.8,100,82.1,100,80.7,100,88.7
15,M1 - M1,A - A,M1413 - Echegaray Automotores (grupo ),M1413 - Echegaray Automotores,-,71.3,-,75,-,83.5,-,67.5,-,73.6,-,84.9,-,70,-,78.1
9,M1 - M1,A - A,M1474 - Alden Tlalpan (grupo ),M1474 - Alden Tlalpan,100,82,100,82.1,100,90.6,100,79.6,100,92.9,100,83.1,93.8,78.9,100,85.2
9,M1 - M1,A - A,M1479 - Picacho Automotriz (grupo ),M1479 - Picacho Automotriz,97.5,79.1,100,77.1,100,84.7,95,76.5,80,87.3,100,80.3,95,79.9,100,86.4
9,M1 - M1,A - A,M1493 - Lomas Automotriz (grupo ),M1493 - Lomas Automotriz,100,86.7,100,85.8,100,91.2,100,87.1,100,93.7,100,85.9,100,87.6,100,90.5
9,M1 - M1,A - A,M1517 - Picacho Grupo Automotriz (Suc. Tlahuac) (grupo ),M1517 - Picacho Grupo Automotriz (Suc. Tlahuac),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,M1 - M1,A - A,M1524 - Surman Mexico (grupo ),M1524 - Surman Mexico,-,83.8,-,85.2,-,91.3,-,82.8,-,80.7,-,84.6,-,85.8,-,88.8
15,M1 - M1,A - A,M1606 - Vehiculos y Servicios Satelite (grupo ),M1606 - Vehiculos y Servicios Satelite,81.9,71.2,91.7,73.2,100,84.3,91.7,64.2,100,73.1,100,79.4,58.3,68.1,91.7,78.8
15,M1 - M1,A - A,M1697 - ACASA PERINORTE (grupo ),M1697 - ACASA PERINORTE,95.8,75.4,100,74.6,100,81.2,100,73.1,100,78.9,60,78,100,80.3,100,85.3
15,M1 - M1,B - B,M1221 - Zapata (grupo ),M1221 - Zapata,83.6,85.2,83.3,83.4,91.7,88.7,81.9,84.9,77.8,90.6,83.3,84.2,88.9,85.6,83.3,90.1
13,M1 - M1,B - B,M1333 - Zapata (Suc. Tulancingo) (grupo ),M1333 - Zapata (Suc. Tulancingo),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,M1 - M1,B - B,"M1468 - Mylsa, S.A. De C.V. (grupo )","M1468 - Mylsa, S.A. De C.V.",33.3,72.8,33.3,75,41.7,79,33.3,70.2,66.7,75.2,100,84.1,33.3,77.5,91.7,85.2
9,M1 - M1,B - B,M1477 - Ramsa Motors (grupo ),M1477 - Ramsa Motors,100,78.9,100,77.9,100,83.1,100,78.9,0,84.2,100,68.5,75,84.2,100,89.6
15,M1 - M1,B - B,M1505 - Dinastia Automotriz Mexico (grupo ),M1505 - Dinastia Automotriz Mexico,-62.5,78.6,-100,75.7,-100,83,-100,79.8,100,89,0,76.1,0,75.2,0,84.4
9,M1 - M1,B - B,M1511 - Cever Azcapotzalco (grupo ),M1511 - Cever Azcapotzalco,73.2,81.8,82.1,83.7,89.3,89,85.7,83.3,85.7,83.9,71.4,85.8,78.6,83.1,82.1,88.2
15,M1 - M1,B - B,M1516 - Santa Clara (grupo ),M1516 - Santa Clara,-,76.1,-,77.4,-,83.9,-,73.7,-,84,-,81.3,-,86,-,91.7
15,M1 - M1,B - B,M1519 - Gimsa Automotriz (Suc. Los Reyes) (grupo ),M1519 - Gimsa Automotriz (Suc. Los Reyes),100,84.2,100,82,100,87.6,100,85.4,100,84,100,87.1,100,84.3,100,86.2
15,M1 - M1,B - B,M1520 - Zapata (Suc. Atizapan) (grupo ),M1520 - Zapata (Suc. Atizapan),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,M1 - M1,B - B,M1526 - Mylsa (Suc. La Villa) (grupo ),M1526 - Mylsa (Suc. La Villa),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,M1 - M1,B - B,M1599 - Ecatepec (grupo ),M1599 - Ecatepec,-,80.5,-,79.3,-,83.9,-,78.6,-,79.8,-,81.7,-,84.1,-,81.6
15,M1 - M1,B - B,M1615 - Zapata (Suc. Texcoco) (grupo ),M1615 - Zapata (Suc. Texcoco),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,M1 - M1,B - B,M1626 - Sanchez Automotriz (grupo ),M1626 - Sanchez Automotriz,-12.5,83.2,100,82.2,100,85.7,-75,77,100,85,100,83.2,0,82.5,100,90.7
15,M1 - M1,B - B,M1687 - Gimsa Automotriz (grupo ),M1687 - Gimsa Automotriz,97.2,84.9,100,84.7,95.8,89.4,100,83.5,83.3,88.3,83.3,83,100,88.5,100,89.2
13,M1 - M1,B - B,M1693 - Zapata (Suc. Pachuca) (grupo ),M1693 - Zapata (Suc. Pachuca),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,M1 - M1,D - D,M1027 - Motores de Morelos (grupo ),M1027 - Motores de Morelos,98.3,84.3,60,80.2,100,88.4,100,81,100,87.9,100,81,95,87.4,95,89.8
31,M1 - M1,D - D,"M1072 - CDA Peninsula, S.A. de C.V. (grupo )","M1072 - CDA Peninsula, S.A. de C.V.",45.8,80.5,87.5,79.1,50,87.5,87.5,79,0,82.1,50,85,75,79.9,75,85.8
31,M1 - M1,D - D,"M1072 - CDA Peninsula, S.A. de C.V. (grupo )",M1728 - CDA Peninsula (Suc. Aeropuerto),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,M1 - M1,D - D,M1073 - CDA Peninsula (Suc. Campeche) (grupo ),M1073 - CDA Peninsula (Suc. Campeche),100,88.1,100,86.2,100,93.3,100,84.4,100,91.1,100,84.4,100,86.9,100,93.2
12,M1 - M1,D - D,M1188 - Acapulco (grupo ),M1188 - Acapulco,-,84.3,-,85.5,-,88.3,-,78.6,-,90.7,-,78.9,-,84.4,-,89.9
7,M1 - M1,D - D,"M1299 - Distribuidores de Autocamiones de Chiapas, S.A. de C.V. (grupo )","M1299 - Distribuidores de Autocamiones de Chiapas, S.A. de C.V.",74,81.3,56.2,76.2,100,89.5,50,79.5,100,89.9,50,78.4,68.8,78.2,75,87.4
27,M1 - M1,D - D,M1331 - Tabasco Automovilistica (grupo ),M1331 - Tabasco Automovilistica,95.1,86.3,95.8,84.5,100,91.1,100,82.9,83.3,92.7,100,80.7,79.2,84.9,95.8,90.2
30,M1 - M1,D - D,M1393 - Juan Osorio Lopez Autos (grupo ),M1393 - Juan Osorio Lopez Autos,81.2,82,87.5,82,87.5,86.5,87.5,81.9,100,87.2,50,83.9,-12.5,80.5,87.5,83.8
30,M1 - M1,D - D,M1396 - Juan Osorio Lopez Autos Minatitlan (grupo ),M1396 - Juan Osorio Lopez Autos Minatitlan,-,89.6,-,90.3,-,92.4,-,89.9,-,95.7,-,88.8,-,86.2,-,92.7
7,M1 - M1,D - D,M1402 - DISAUTO (Suc. San Cristobal) (grupo ),M1402 - DISAUTO (Suc. San Cristobal),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,M1 - M1,D - D,M1403 - Autocamiones de Tapachula (Suc. Comitan) (grupo ),M1403 - Autocamiones de Tapachula (Suc. Comitan),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,M1 - M1,D - D,M1412 - Tabasco Automovilistica (Suc. ATASTA) (grupo ),M1412 - Tabasco Automovilistica (Suc. ATASTA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,M1 - M1,D - D,M1414 - CDA Peninsula (Suc. Riviera Maya) (grupo ),M1414 - CDA Peninsula (Suc. Riviera Maya),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,M1 - M1,D - D,M1415 - Autocamiones de Tapachula (grupo ),M1415 - Autocamiones de Tapachula,87.5,70.3,87.5,65.1,100,73.4,100,65.6,100,77.4,100,78.5,87.5,73.4,100,87.9
7,M1 - M1,D - D,M1415 - Autocamiones de Tapachula (grupo ),M1790 - Autocamiones de Tapachula (Suc. Arriaga),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,M1 - M1,D - D,M1494 - Chontalpa Automovilistica (grupo ),M1494 - Chontalpa Automovilistica,-,91.1,-,86.6,-,96.2,-,87,-,90.3,-,84.7,-,89.7,-,94.8
20,M1 - M1,D - D,M1638 - Jol Automotriz del Istmo (Suc. Istmo) (grupo ),M1638 - Jol Automotriz del Istmo (Suc. Istmo),-,86.1,-,72.6,-,92.2,-,87.5,-,96.9,-,93.8,-,91.4,-,96.1
23,M1 - M1,D - D,M1641 - CDA Peninsula (Suc. Cancun) (grupo ),M1641 - CDA Peninsula (Suc. Cancun),98.6,78.9,100,77.9,100,87.4,100,79.5,100,82.9,100,81.2,100,75.3,91.7,83.5
12,M1 - M1,D - D,M1777 - Motores de Guerrero (grupo ),M1777 - Motores de Guerrero,97.2,84.9,100,82.8,100,86.4,91.7,87.9,100,86.8,100,86.8,91.7,86.2,100,95.9
4,M1 - M1,D - D,M1780 - Carmen Automotriz (grupo ),M1780 - Carmen Automotriz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,M1 - M1,F - F,M1320 - Rivera (grupo ),M1320 - Rivera,84.2,83.4,95,83.4,75,86.6,100,77.8,80,86.1,100,86.6,93.8,85,93.8,84.5
29,M1 - M1,F - F,M1375 - Autos de Tlaxcala (grupo ),M1375 - Autos de Tlaxcala,83.3,80.9,75,78.4,100,84.1,100,82.1,0,70.7,0,82.8,0,82.4,75,91.7
29,M1 - M1,F - F,M1500 - Rivera (Suc. Angelopolis) (grupo ),M1500 - Rivera (Suc. Angelopolis),86.5,75.3,87.5,78.6,100,83.1,87.5,76.5,75,71.2,100,84.1,50,74.2,87.5,83
29,M1 - M1,F - F,M1509 - Automotriz Jalbra (grupo ),M1509 - Automotriz Jalbra,98.6,82.9,100,78.6,100,88.4,100,82,100,91.8,66.7,82.3,100,85.4,100,88.9
20,M1 - M1,F - F,M1518 - Rispe Tuxtepec (grupo ),M1518 - Rispe Tuxtepec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,M1 - M1,F - F,M1698 - Dinastia Automotriz Oaxaca (grupo ),M1698 - Dinastia Automotriz Oaxaca,50,88.1,87.5,87.5,87.5,92.4,50,86.6,50,91.2,0,81.2,87.5,83.5,100,88.7
30,M1 - M1,F - F,M3022 - Automotriz de Tuxpam (grupo ),M3022 - Automotriz de Tuxpam,100,86,100,85.4,100,90.9,100,78.7,100,87.8,100,85.4,100,89,100,88.4
30,M1 - M1,F - F,M3028 - Automotriz Huasteca (grupo ),M3028 - Automotriz Huasteca,97.2,79.2,100,78,100,80.1,100,75.3,100,87.8,100,81,100,78,100,89
30,M1 - M1,F - F,"M3107 - Automovilistica Veracruzana, S.A. DE C.V. (grupo )","M3107 - Automovilistica Veracruzana, S.A. DE C.V.",-,87.2,-,87.3,-,91.7,-,88.2,-,87.6,-,83.9,-,88.2,-,91.3
30,M1 - M1,F - F,M3116 - Super Autos Jalapa (grupo ),M3116 - Super Autos Jalapa,86.7,83,70,82.2,90,85.3,90,84.4,100,78.6,80,84.6,60,86.3,75,86.5
30,M1 - M1,F - F,M3122 - Cordoba Automotriz (grupo ),M3122 - Cordoba Automotriz,100,80.2,100,81.8,100,85.7,100,77.7,100,80,0,77,100,83.3,100,88.4
21,M1 - M1,F - F,M3243 - Vehiculos de Teziutlan (grupo ),M3243 - Vehiculos de Teziutlan,91.7,85.9,75,82.7,100,85.1,100,82.7,100,87.8,100,97.6,100,92.1,100,95.7
30,M1 - M1,F - F,M3515 - Autos Mil Cien (grupo ),M3515 - Autos Mil Cien,-,81.6,-,80.1,-,83.8,-,74.3,-,93,-,76.7,-,84.6,-,87.2
30,M1 - M1,F - F,M3603 - Vehiculos de Martinez (grupo ),M3603 - Vehiculos de Martinez,-,91.4,-,86.8,-,91.2,-,89.7,-,100,-,87.5,-,88.3,-,95.3
21,M1 - M1,F - F,M3666 - Mylsa Tehuacan (grupo ),M3666 - Mylsa Tehuacan,-,74.3,-,80.3,-,80.9,-,70.7,-,83,-,87.2,-,81,-,88.8
30,M1 - M1,F - F,M3787 - Rispe Automotriz (grupo ),M3787 - Rispe Automotriz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M2 - M2,A - A,M2164 - Plasencia Guadalajara (grupo ),M2164 - Plasencia Guadalajara,89.2,84.3,90,82.3,97.5,89,90,82.4,100,89,80,84.9,87.5,85.7,95,89.8
18,M2 - M2,A - A,M2268 - Plasencia de Nayarit (grupo ),M2268 - Plasencia de Nayarit,-,81.9,-,83.9,-,87.5,-,77.7,-,93.2,-,82.6,-,84.8,-,84.4
14,M2 - M2,A - A,M2319 - Jalisco Motors (grupo ),M2319 - Jalisco Motors,64.6,88.3,50,89.6,50,90.6,50,87.4,100,91.6,100,89.6,75,88.1,87.5,91.1
25,M2 - M2,A - A,M2334 - Plasencia Mazatlan (grupo ),M2334 - Plasencia Mazatlan,-,88.1,-,87.2,-,93,-,85.5,-,93.5,-,89.2,-,87.5,-,89.8
14,M2 - M2,A - A,M2364 - Jimenez Automotriz (grupo ),M2364 - Jimenez Automotriz,-,83.7,-,83.2,-,90.4,-,82.9,-,91.9,-,82.6,-,82,-,87.2
14,M2 - M2,A - A,M2408 - Plasencia Guadalajara (Suc.Santa Anita) (grupo ),M2408 - Plasencia Guadalajara (Suc.Santa Anita),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M2 - M2,A - A,M2436 - Plasencia Puerto Vallarta (grupo ),M2436 - Plasencia Puerto Vallarta,100,92.6,100,96.5,100,95.3,100,94.1,66.7,92.2,100,96.9,100,93,100,96.1
